_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
73494,1064,PO-00753,4,Greystone Walk Dr,Midland Ave,East,Danforth Rd,South,13661.0,20,,PPC,Existing,M3513661,0,324639.183,4842788.048,-79.253758435,43.724780967,"{u'type': u'Point', u'coordinates': (-79.2537584391, 43.7247809684)}"
73495,1065,PO-00759,2021,Lawrence Ave E,Warden Ave,West,Lawrence Ave E,South,13667.0,21,Wexford Heights,PPC,Existing,M3713667,0,321326.63,4845039.702,-79.294803975,43.745129667,"{u'type': u'Point', u'coordinates': (-79.2948039701, 43.7451296672)}"
73496,1066,PO-00949,,,Gzowski Blvd,East,Fort York Blvd,South,13883.0,10,CityPlace and Fort York,PPC,Existing,M1913883,0,312530.525,4832986.303,-79.40418978699999,43.636777478,"{u'type': u'Point', u'coordinates': (-79.4041897823, 43.6367774829)}"
73497,1067,PO-00985,,,Morningside Ave,East,Lawrence Ave E,North,13458.0,25,,PPC,Existing,M4413458,0,330073.542,4847670.533,-79.186079135,43.76856337,"{u'type': u'Point', u'coordinates': (-79.1860791302, 43.7685633685)}"
73498,1070,PO-01058,190,Bermondsey Rd,Bermondsey Rd,West,Old Eglinton Ave,South,14241.0,16,,PPC,Existing,M3414241,0,319713.532,4842645.85,-79.314898599,43.723616373999995,"{u'type': u'Point', u'coordinates': (-79.3148986031, 43.7236163722)}"
73499,1071,PO-01080,123,Livingston Rd,Livingston Rd,West,Guildwood Pkwy,East,14371.0,24,,PPC,Existing,M4314371,0,329018.711,4845300.6280000005,-79.199287783,43.747266927,"{u'type': u'Point', u'coordinates': (-79.1992877792, 43.7472669291)}"
73500,1072,PO-00044,355,King St W,King St W,South,Blue Jays Way,East,7377.0,10,Toronto Entertainment District,PPC,Temporarily Removed,M2007377,0,313529.213,4834020.67,-79.391795602,43.64607715,"{u'type': u'Point', u'coordinates': (-79.3917956019, 43.6460771483)}"
73501,1073,PO-00286,455,College St,College St,South,Bathurst St,West,8181.0,11,Little Italy,PPC,Existing,M1908181,0,312211.539,4835152.7469999995,-79.40811349399999,43.656281658999994,"{u'type': u'Point', u'coordinates': (-79.4081134902, 43.6562816612)}"
73502,1076,PO-00313,585,University Ave,University Ave,East,Orde St,South,8086.0,11,,PPC,Existing,M2708086,0,313698.917,4835411.035,-79.389669108,43.658590286999996,"{u'type': u'Point', u'coordinates': (-79.3896691032, 43.658590288)}"
73503,1077,PO-00466,1500,Avenue Rd,Avenue Rd,West,Glengarry Ave,South,8366.0,8,,PPC,Existing,M1608366,0,311573.468,4842536.037,-79.415931361,43.722746875,"{u'type': u'Point', u'coordinates': (-79.4159313612, 43.7227468787)}"
73504,1078,PO-00060,2413,Lake Shore Blvd W,Lake Shore Blvd W,South,Primrose Ave,East,6417.0,3,Mimico By The Lake,PPC,Existing,M0606417,0,305688.31899999996,4830459.34,-79.48899454,43.614070891000004,"{u'type': u'Point', u'coordinates': (-79.4889945367, 43.614070896)}"
73505,1080,PO-00433,120,Trowell Ave,Trowell Ave,North,Keele St,East,8275.0,5,,PPC,Existing,M1208275,0,307038.285,4838461.481000001,-79.47223653100001,43.68609822,"{u'type': u'Point', u'coordinates': (-79.4722365297, 43.6860982203)}"
