_id,OBJECTID,ID,ADDRESSNUMBERTEXT,ADDRESSSTREET,FRONTINGSTREET,SIDE,FROMSTREET,DIRECTION,SITEID,WARD,BIA,ASSETTYPE,STATUS,BARCODE,SDE_STATE_ID,X,Y,LONGITUDE,LATITUDE,geometry
72944,255,PO-01163,157,Siskin Ter,Staines Rd,West,Siskin Ter,North,15344.0,25,,PPC,Existing,M2515344,0,327410.75399999996,4853766.578,-79.21889591,43.823520056999996,"{u'type': u'Point', u'coordinates': (-79.2188959105, 43.8235200618)}"
72945,256,PO-01166,57,Fraserwood Ave,Meadowbrook Rd,West,Fraserwood Ave,North,15553.0,8,,PPC,Existing,M0815553,0,309438.11199999996,4841558.548,-79.442442657,43.713964675,"{u'type': u'Point', u'coordinates': (-79.4424426571, 43.7139646765)}"
72946,257,PO-01125,,,Strathdee Dr,North,Wincott Dr,East,14757.0,2,,PPC,Existing,M0114757,0,301190.07,4837972.983,-79.54477395100001,43.681695702,"{u'type': u'Point', u'coordinates': (-79.5447739475, 43.6816957021)}"
72947,258,PO-01129,30,George Anderson Dr,George Anderson Dr,North,Keele St,West,14758.0,5,,PPC,Existing,M1114758,0,306503.68100000004,4840560.8719999995,-79.478861073,43.704996862,"{u'type': u'Point', u'coordinates': (-79.4788610683, 43.7049968643)}"
72948,263,PO-00951,,,Bastion St,West,Fort York Blvd,South,13882.0,10,CityPlace and Fort York,PPC,Existing,M1913882,0,312559.919,4832994.665,-79.403825361,43.636852448,"{u'type': u'Point', u'coordinates': (-79.4038253608, 43.6368524464)}"
72949,293,PO-00982,3520,Danforth Ave,Danforth Ave,North,Warden Ave,East,13461.0,20,Crossroads of the Danforth,PPC,Existing,M3513461,0,323076.524,4839424.631,-79.273267978,43.694546328,"{u'type': u'Point', u'coordinates': (-79.2732679722, 43.6945463276)}"
72950,294,PO-00984,,,Morningside Ave,East,Military Trl,North,13457.0,25,,PPC,Existing,M4413457,0,329404.622,4849982.367,-79.194281616,43.789394767,"{u'type': u'Point', u'coordinates': (-79.194281612, 43.7893947729)}"
72951,295,PO-00986,2425,Eglinton Ave E,Eglinton Ave E,South,Kennedy Ave,East,13459.0,20,,PPC,Temporarily Removed,M3513459,0,323518.209,4843607.426,-79.267643211,43.732185448,"{u'type': u'Point', u'coordinates': (-79.2676432086, 43.7321854505)}"
72952,331,PO-01048,1427,Kingston Rd,Kingston Rd,South,Haig Ave,East,14287.0,20,,PPC,Existing,M3614287,0,323224.307,4838619.81,-79.271462156,43.687298301000006,"{u'type': u'Point', u'coordinates': (-79.2714621531, 43.6872983012)}"
72953,332,PO-01047,4190,Finch Ave E,Finch Ave E,North,Midland Ave,West,14285.0,22,,PPC,Existing,M4114285,0,321956.561,4851558.544,-79.28677436699999,43.803792126000005,"{u'type': u'Point', u'coordinates': (-79.2867743619, 43.8037921253)}"
72954,333,PO-01051,5801,Leslie St,Leslie St,East,Clansman Blvd,North,14291.0,17,,PPC,Existing,M2414291,0,315303.85,4850800.051,-79.369470353,43.797089198,"{u'type': u'Point', u'coordinates': (-79.3694703511, 43.7970892009)}"
72955,334,PO-01053,929,Kennedy Rd,Kennedy Rd,East,Ranstone Gdns,South,14288.0,21,,PPC,Existing,M3714288,0,323177.143,4844694.783,-79.271839801,43.741981443,"{u'type': u'Point', u'coordinates': (-79.271839807, 43.7419814452)}"
72956,335,PO-01055,6000,Leslie St,Leslie St,West,Cummer Ave,South,14292.0,17,,PPC,Existing,M2414292,0,315226.277,4851059.148,-79.370429301,43.799422453000005,"{u'type': u'Point', u'coordinates': (-79.3704292963, 43.7994224569)}"
72957,336,PO-01056,55,Van Horne Ave,Van Horne Ave,South,Seneca Hill Dr,East,14239.0,17,,PPC,Existing,M3314239,0,315990.403,4849434.303,-79.360967196,43.784785885,"{u'type': u'Point', u'coordinates': (-79.3609671922, 43.7847858872)}"
72958,337,PO-01059,184,Sloane Ave,Sloane Ave,West,Sweeney Dr,North,14242.0,16,,PPC,Existing,M3414242,0,319895.663,4844029.465,-79.312599241,43.736066865,"{u'type': u'Point', u'coordinates': (-79.3125992436, 43.7360668671)}"
72959,338,PO-01060,120,Banbury Rd,Banbury Rd,West,Caravan Dr,North,14243.0,15,,PPC,Existing,M2514243,0,315344.653,4844734.316000001,-79.369082441,43.742490031,"{u'type': u'Point', u'coordinates': (-79.3690824452, 43.7424900364)}"
72960,339,PO-01063,760,Shaw St,Irene Ave,South,Shaw St,West,14296.0,11,,PPC,Existing,M1914296,0,310915.322,4835891.827,-79.424175301,43.662946155,"{u'type': u'Point', u'coordinates': (-79.4241752955, 43.6629461584)}"
72961,340,PO-00876,37,Nelson St,Bellamy Rd N,West,Nelson St,South,,21,,Collar,Existing,,0,326456.896,4845181.507,-79.231101053,43.746273962,"{u'type': u'Point', u'coordinates': (-79.2311010519, 43.7462739681)}"
72962,342,PO-00277,230,Woolner Ave,Woolner Ave,North,Jane St,East,8180.0,5,,PPC,Existing,M1308180,0,305327.691,4836870.181,-79.49345612399999,43.67177761,"{u'type': u'Point', u'coordinates': (-79.4934561285, 43.6717776102)}"
72963,343,PO-00082,519,Church St,Church St,East,Dundonald St,South,6052.0,13,Church-Wellesley Village,PPC,Existing,M2706052,0,314389.49199999997,4836270.922,-79.38109193,43.666321823000004,"{u'type': u'Point', u'coordinates': (-79.3810919315, 43.6663218243)}"
72964,344,PO-01065,169,Berry Rd,Berry Rd,South,Kinsdale Blvd,East,14320.0,3,,PPC,Existing,M0514320,0,305803.083,4833044.188999999,-79.487567919,43.637338005,"{u'type': u'Point', u'coordinates': (-79.4875679212, 43.6373380104)}"
72965,345,PO-01066,156,The Queensway,The Queensway,North,Stephen Dr,West,14321.0,3,,PPC,Existing,M0514321,0,306051.631,4832278.061000001,-79.484489227,43.63044142,"{u'type': u'Point', u'coordinates': (-79.4844892238, 43.6304414192)}"
72966,346,PO-01067,901,Cosburn Ave,Virginia Ave,East,Cosburn Ave,South,14298.0,19,,PPC,Existing,M3114298,0,319804.845,4839675.33,-79.313848034,43.696876229,"{u'type': u'Point', u'coordinates': (-79.3138480384, 43.69687623)}"
72967,347,PO-01068,888,Cosburn Ave,Cosburn Ave,North,Cedarvale Ave,East,14299.0,19,,PPC,Existing,M3114299,0,319709.539,4839693.483,-79.315029906,43.697041546,"{u'type': u'Point', u'coordinates': (-79.315029908, 43.6970415489)}"
72968,348,PO-01070,375,Cedarvale Ave,Cedarvale Ave,East,Cosburn Ave,North,14300.0,19,,PPC,Existing,M3114300,0,319609.748,4839856.251,-79.31626344899999,43.698508657,"{u'type': u'Point', u'coordinates': (-79.316263451, 43.6985086594)}"
72969,349,PO-01072,2,Gledhill Ave,King Edward Ave,South,Gledhill Ave,West,14303.0,19,,PPC,Existing,M3114303,0,320164.595,4838707.007,-79.309412566,43.688152763999994,"{u'type': u'Point', u'coordinates': (-79.3094125635, 43.6881527622)}"
72970,350,PO-01073,455,Glebeholme Blvd,Glebeholme Blvd,South,Woodington Ave,East,14304.0,19,,PPC,Existing,M3114304,0,319233.709,4838523.955,-79.320964421,43.686523734,"{u'type': u'Point', u'coordinates': (-79.3209644198, 43.6865237329)}"
72971,351,PO-01075,200,Park Lawn Rd,Park Lawn Rd,West,Lorne Ave,South,14318.0,3,,PPC,Existing,M0514318,0,305524.947,4832263.395,-79.491016152,43.630310101999996,"{u'type': u'Point', u'coordinates': (-79.4910161492, 43.630310104)}"
72972,352,PO-01076,925,Albion Rd,Albion Rd,West,Riverdale Ave,North,14353.0,1,Albion Islington Square,PPC,Existing,M0114353,0,299793.261,4843961.762,-79.562154228,43.73559418,"{u'type': u'Point', u'coordinates': (-79.5621542336, 43.7355941836)}"
72973,353,PO-01078,108,Denison Rd W,Denison Rd W,West,Clouston Ave,North,14358.0,5,,PPC,Existing,M0714358,0,303880.07399999996,4839345.673,-79.51141217899999,43.694059893,"{u'type': u'Point', u'coordinates': (-79.5114121825, 43.6940598984)}"
72974,354,PO-01079,1449,Kingston Rd,Kingston Rd,South,Warden Ave,East,14370.0,20,,PPC,Existing,M3614370,0,323302.915,4838693.191000001,-79.270484571,43.687956869,"{u'type': u'Point', u'coordinates': (-79.2704845769, 43.6879568669)}"
72975,355,PO-01081,227,Orton Park Rd,Orton Park Rd,East,Botany Hill Rd,North,14372.0,24,,PPC,Existing,M4314372,0,328053.63399999996,4848635.268999999,-79.211126139,43.777313161,"{u'type': u'Point', u'coordinates': (-79.2111261403, 43.7773131633)}"
72976,357,PO-01086,461,Cherry St,Cherry St,East,Front St E,North,14375.0,13,,PPC,Existing,M2814375,0,316255.739,4834783.002,-79.357982425,43.652902162,"{u'type': u'Point', u'coordinates': (-79.3579824224, 43.652902168)}"
72977,359,PO-01088,,,Spadina Ave,East,Bremner Blvd,South,14382.0,10,Toronto Entertainment District,PPC,Existing,M2014382,0,313492.71,4833271.096,-79.39226014,43.639330393,"{u'type': u'Point', u'coordinates': (-79.3922601384, 43.6393303922)}"
72978,360,PO-01089,86,Blake St,Blake St,West,Strathcona Ave,South,14387.0,14,,PPC,Existing,M3014387,0,317754.723,4837241.463,-79.33934048399999,43.675006925,"{u'type': u'Point', u'coordinates': (-79.3393404791, 43.6750069272)}"
72979,361,PO-01090,235,The Esplanade,The Esplanade,South,Hahn Pl,West,14406.0,10,St. Lawrence Market Neighbourhood,PPC,Existing,M2814406,0,315713.955,4834411.621,-79.36470644,43.649567385,"{u'type': u'Point', u'coordinates': (-79.364706441, 43.6495673901)}"
72980,362,PO-01093,79,Lawlor Ave,Lawlor Ave,East,Swanwick Ave,South,14389.0,19,,PPC,Existing,M3214389,0,321760.56,4838196.416999999,-79.289631881,43.683522097,"{u'type': u'Point', u'coordinates': (-79.2896318814, 43.6835220953)}"
72981,364,PO-01095,239,Queens Quay W,Queens Quay W,South,Lower Simcoe St,West,14412.0,10,The Waterfront,PPC,Existing,M2014412,0,314143.062,4833253.982,-79.38419980399999,43.639168462,"{u'type': u'Point', u'coordinates': (-79.3841998066, 43.6391684618)}"
72982,365,PO-01096,207,Queens Quay W,Queens Quay W,South,York St,West,14416.0,10,The Waterfront,PPC,Existing,M2014416,0,314406.159,4833320.7360000005,-79.380937738,43.639765989,"{u'type': u'Point', u'coordinates': (-79.3809377384, 43.6397659889)}"
72983,366,PO-01097,,,Queens Quay W,South,Lower Spadina Ave,West,14417.0,10,The Waterfront,PPC,Existing,M2014417,0,313525.202,4833074.874,-79.391860587,43.637563744,"{u'type': u'Point', u'coordinates': (-79.3918605919, 43.6375637462)}"
72984,367,PO-01100,155,Crawford St,Crawford St,East,Queen St W,North,14437.0,10,,PPC,Existing,M1914437,0,311628.897,4833997.886,-79.415351541,43.645891932,"{u'type': u'Point', u'coordinates': (-79.4153515411, 43.6458919307)}"
72985,369,PO-00257,10,St Mary St,Yonge St,West,St Mary St,South,8160.0,13,,PPC,Existing,M2708160,0,314008.038,4836426.83,-79.38581922899999,43.667730026,"{u'type': u'Point', u'coordinates': (-79.3858192266, 43.6677300239)}"
72986,370,PO-01104,40,East Liberty St,East Liberty St,North,Western Battery Rd,West,14501.0,10,,PPC,Existing,M1914501,0,311909.99100000004,4833249.533,-79.41187706,43.639153099,"{u'type': u'Point', u'coordinates': (-79.4118770554, 43.6391531005)}"
72987,371,PO-00791,2990,Islington Ave,Islington Ave,West,Whitfield Ave,South,13836.0,7,,PPC,Existing,M0713836,0,299061.614,4846572.123,-79.571264847,43.759085265,"{u'type': u'Point', u'coordinates': (-79.5712648478, 43.7590852679)}"
72988,372,PO-00103,1160,Weston Rd,Eglinton Ave W,North,Weston Rd,West,5989.0,5,Mount Dennis,PPC,Existing,M1105989,0,305596.457,4838562.853999999,-79.49012068,43.687013653,"{u'type': u'Point', u'coordinates': (-79.4901206743, 43.6870136542)}"
72989,373,PO-00274,399,Jane St,Annette St,North,Jane St,East,8177.0,4,Baby Point Gates,PPC,Existing,M1308177,0,305771.108,4835382.063,-79.48796001,43.658382106000005,"{u'type': u'Point', u'coordinates': (-79.4879600125, 43.6583821102)}"
72990,374,PO-01106,1150,Ellesmere Rd,Midland Ave,East,Ellesmere Rd,North,14543.0,21,,PPC,Existing,M3714543,0,323233.724,4847612.177,-79.271037235,43.768239865,"{u'type': u'Point', u'coordinates': (-79.2710372337, 43.7682398652)}"
72991,375,PO-00036,70,University Ave,Wellington St W,North,University Ave,West,7324.0,10,Financial District,PPC,Existing,M2007324,0,314128.38,4834056.424,-79.38436792899999,43.64639171100001,"{u'type': u'Point', u'coordinates': (-79.3843679257, 43.6463917113)}"
72992,376,PO-00046,75,Simcoe St,King St W,South,Simcoe St,East,7379.0,10,Financial District,PPC,Existing,M2007379,0,314006.355,4834162.947,-79.38587869199999,43.647352076000004,"{u'type': u'Point', u'coordinates': (-79.3858786963, 43.647352082)}"
72993,377,PO-00050,134,Peter St,Peter St,West,Richmond St W,North,7383.0,10,Toronto Entertainment District,PPC,Existing,M2007383,0,313396.062,4834297.021000001,-79.393441691,43.648566228,"{u'type': u'Point', u'coordinates': (-79.3934416969, 43.6485662309)}"
72994,378,PO-00165,1900,Mccowan Rd,Mccowan Rd,West,Sheppard Ave E,North,1521.0,23,Sheppard East Village,PPC,Existing,M4101521,0,324185.475,4850004.466,-79.25912934,43.789748749,"{u'type': u'Point', u'coordinates': (-79.259129337, 43.7897487531)}"
72995,381,PO-00174,205,Wilmington Ave,Wilmington Ave,East,Kennard Ave,North,7350.0,6,,PPC,Existing,M1007350,0,308327.495,4846838.936000001,-79.456190375,43.76150072,"{u'type': u'Point', u'coordinates': (-79.4561903801, 43.7615007227)}"
72996,382,PO-00176,2455,Danforth Ave,Danforth Ave,South,Westlake Ave,East,6650.0,19,Danforth Village,PPC,Existing,M3206650,0,320599.585,4838648.225,-79.304018565,43.687614523,"{u'type': u'Point', u'coordinates': (-79.3040185594, 43.6876145271)}"
72997,383,PO-00272,2383,Bloor St W,Bloor St W,South,Willard Ave,West,8174.0,4,Bloor West Village,PPC,Existing,M1308174,0,306235.773,4834421.911,-79.48220156100001,43.64973869,"{u'type': u'Point', u'coordinates': (-79.4822015576, 43.6497386892)}"
72998,384,PO-00276,2879,Dundas St W,Dundas St W,South,Mavety St,East,8179.0,4,Junction Gardens,PPC,Existing,M1308179,0,307583.047,4836157.217,-79.46549124399999,43.665354961999995,"{u'type': u'Point', u'coordinates': (-79.4654912437, 43.6653549627)}"
72999,385,PO-00280,1188,King St W,King St W,North,Dufferin St,East,8193.0,10,,PPC,Existing,M1408193,0,310692.739,4833245.614,-79.426964005,43.639128457,"{u'type': u'Point', u'coordinates': (-79.4269639999, 43.6391284585)}"
73000,386,PO-00282,149,Jameson Ave,Jameson Ave,East,King St W,North,8195.0,4,,PPC,Existing,M1408195,0,309961.136,4833050.928,-79.43603351600001,43.637381446999996,"{u'type': u'Point', u'coordinates': (-79.4360335135, 43.6373814505)}"
73001,387,PO-00284,1100,Queen St W,Queen St W,North,Dovercourt Rd,West,8187.0,9,West Queen West,PPC,Existing,M1808187,0,311027.04600000003,4833727.366,-79.42281497100001,43.643462165,"{u'type': u'Point', u'coordinates': (-79.4228149723, 43.643462163)}"
73002,388,PO-00288,700,King St W,King St W,North,Bathurst St,West,8183.0,10,,PPC,Existing,M1908183,0,312613.53,4833779.502,-79.40314957300001,43.643916483000005,"{u'type': u'Point', u'coordinates': (-79.4031495721, 43.6439164892)}"
73003,390,PO-00297,74,Mc Caul St,Mc Caul St,West,Grange Rd,North,8094.0,10,,PPC,Existing,M2008094,0,313604.68100000004,4834758.666,-79.390848096,43.652719216,"{u'type': u'Point', u'coordinates': (-79.3908480984, 43.6527192167)}"
73004,391,PO-00299,396,Dundas St W,Dundas St W,North,Beverley St,West,8097.0,11,Chinatown,PPC,Temporarily Removed,M2008097,0,313290.13800000004,4834865.594,-79.39474580699999,43.653685366000005,"{u'type': u'Point', u'coordinates': (-79.3947458101, 43.653685369)}"
73005,392,PO-00301,30,Baldwin St,Baldwin St,North,Henry St,West,8099.0,11,,PPC,Existing,M2008099,0,313382.958,4835126.286,-79.393590961,43.656030881999996,"{u'type': u'Point', u'coordinates': (-79.3935909578, 43.6560308807)}"
73006,393,PO-00305,371,Bloor St W,Bloor St W,South,Madison Ave,West,8078.0,11,,PPC,Existing,M2008078,0,312644.184,4836322.13,-79.402732681,43.666803226000006,"{u'type': u'Point', u'coordinates': (-79.4027326752, 43.666803227)}"
73007,394,PO-00306,525,University Ave,University Ave,East,Elm St,South,8079.0,11,,PPC,Existing,M2708079,0,313790.188,4835119.629,-79.38854235699999,43.655966147,"{u'type': u'Point', u'coordinates': (-79.3885423575, 43.6559661477)}"
73008,395,PO-00310,620,University Ave,University Ave,West,Orde St,South,8083.0,11,,PPC,Existing,M2008083,0,313658.161,4835403.609,-79.390174524,43.658523925,"{u'type': u'Point', u'coordinates': (-79.3901745267, 43.6585239307)}"
73009,396,PO-00316,131,Mc Caul St,Mc Caul St,East,Dundas St W,North,8089.0,11,,PPC,Existing,M2008089,0,313552.411,4834971.882,-79.391492631,43.654639061000005,"{u'type': u'Point', u'coordinates': (-79.3914926345, 43.6546390633)}"
73010,398,PO-00322,1155,King St W,Liberty St,North,Pardee Ave,East,8207.0,10,Liberty Village,PPC,Existing,M1408207,0,311034.369,4833113.317,-79.422731286,43.637934815,"{u'type': u'Point', u'coordinates': (-79.4227312867, 43.6379348204)}"
73011,399,PO-00327,335,Mill Rd,Burnhamthorpe Rd,North,Mill Rd,East,8212.0,2,,PPC,Existing,M0308212,0,297998.76300000004,4833288.83,-79.584296671,43.639509708,"{u'type': u'Point', u'coordinates': (-79.5842966717, 43.6395097132)}"
73012,400,PO-00329,430,Burnhamthorpe Rd,The East Mall,East,Burnhamthorpe Rd,South,8214.0,2,,PPC,Existing,M0308214,0,299988.122,4834009.09,-79.55964636600001,43.64600856,"{u'type': u'Point', u'coordinates': (-79.55964636, 43.6460085614)}"
73013,401,PO-00331,126,Rathburn Rd,Kipling Ave,West,Rathburn Rd,North,8216.0,2,,PPC,Existing,M0308216,0,301262.378,4835670.996,-79.543862016,43.660975115,"{u'type': u'Point', u'coordinates': (-79.543862019, 43.6609751154)}"
73014,402,PO-00339,6,Royal York Rd,Lake Shore Blvd W,South,Royal York Rd,West,8225.0,3,,PPC,Existing,M0608225,0,305338.507,4829278.674,-79.49332956800001,43.603443548,"{u'type': u'Point', u'coordinates': (-79.4933295633, 43.6034435522)}"
73015,403,PO-00341,1625,Dufferin St,Dufferin St,East,Rosemount Ave,North,8228.0,9,,PPC,Existing,M1708228,0,309433.341,4837439.465,-79.44253728300001,43.676887664,"{u'type': u'Point', u'coordinates': (-79.4425372789, 43.676887664)}"
73016,404,PO-00343,35,Warrender Ave,Eglinton Ave W,South,Kipling Ave,West,8231.0,2,,PPC,Temporarily Removed,M0308231,0,300672.498,4837451.7069999995,-79.551189396,43.677000837,"{u'type': u'Point', u'coordinates': (-79.5511893993, 43.6770008395)}"
73017,405,PO-00345,41,Blackfriar Ave,Kipling Ave,West,Dixon Ave,North,8233.0,1,,PPC,Temporarily Removed,M0208233,0,300048.622,4839404.142,-79.558943926,43.694571563000004,"{u'type': u'Point', u'coordinates': (-79.5589439296, 43.6945715671)}"
73018,406,PO-00347,350,Dixon Rd,Dixon Rd,North,Chetta Pl,West,8235.0,1,,PPC,Existing,M0208235,0,300416.872,4839501.886,-79.554376351,43.695453648999994,"{u'type': u'Point', u'coordinates': (-79.5543763464, 43.6954536533)}"
73019,407,PO-00354,1651,Queen St E,Queen St E,South,Eastern Ave,East,8277.0,19,,PPC,Existing,M3208277,0,319743.131,4836318.54,-79.31470668600001,43.666662117,"{u'type': u'Point', u'coordinates': (-79.3147066816, 43.6666621196)}"
73020,408,PO-00356,414,Dawes Rd,Dawes Rd,West,Chapman Ave,North,8279.0,19,,PPC,Existing,M3108279,0,321159.939,4840160.35,-79.29702194800001,43.701213392,"{u'type': u'Point', u'coordinates': (-79.2970219473, 43.7012133915)}"
73021,437,PO-00540,2155,Bloor St W,Bloor St W,South,Glendonwynne Rd,West,8634.0,4,Bloor West Village,PPC,Existing,M1308634,0,306885.007,4834620.161,-79.47415261100001,43.651521671000005,"{u'type': u'Point', u'coordinates': (-79.4741526169, 43.6515216725)}"
73022,438,PO-00542,445,Sentinel Rd,Finch Ave W,North,Sentinel Rd,East,8641.0,7,,PPC,Existing,M0808641,0,304810.32300000003,4846810.018999999,-79.499871791,43.761248828,"{u'type': u'Point', u'coordinates': (-79.4998717943, 43.7612488314)}"
73023,439,PO-00543,787,Steeles Ave W,Bathurst St,East,Steeles Ave W,South,8643.0,18,,PPC,Existing,M2308643,0,309190.793,4850259.904,-79.445440688,43.792288783000004,"{u'type': u'Point', u'coordinates': (-79.4454406899, 43.792288781)}"
73024,441,PO-00186,83,Navy Wharf Crt,Blue Jays Way,South,Navy Wharf Crt,East,7952.0,10,Toronto Entertainment District,PPC,Existing,M2007952,0,313603.07300000003,4833556.682,-79.390887621,43.641899758,"{u'type': u'Point', u'coordinates': (-79.3908876191, 43.6418997573)}"
73025,442,PO-00192,320,Huron St,Huron St,West,Classic Ave,North,8111.0,11,,PPC,Existing,M2008111,0,312880.19,4835866.2069999995,-79.39981304199999,43.662696786000005,"{u'type': u'Point', u'coordinates': (-79.3998130472, 43.6626967884)}"
73026,443,PO-00194,110,St George St,St George St,West,Harbord St,South,8113.0,11,,PPC,Existing,M2008113,0,313005.034,4835960.258,-79.398263669,43.663542,"{u'type': u'Point', u'coordinates': (-79.3982636688, 43.6635420051)}"
73027,444,PO-00196,107,St George St,St George St,East,Harbord St,North,8115.0,11,,PPC,Existing,M2008115,0,312960.745,4836142.053,-79.39881007,43.665178888999996,"{u'type': u'Point', u'coordinates': (-79.39881007, 43.6651788884)}"
73028,445,PO-00198,36,Harbord St,Huron St,West,Harbord St,North,8131.0,11,,PPC,Existing,M2008131,0,312852.275,4835967.369,-79.400157659,43.663607678999995,"{u'type': u'Point', u'coordinates': (-79.400157658, 43.6636076835)}"
73029,446,PO-00202,369,Huron St,Huron St,East,Sussex Ave,South,8134.0,11,,PPC,Existing,M2008134,0,312819.624,4836120.761,-79.40056023,43.664988767,"{u'type': u'Point', u'coordinates': (-79.400560227, 43.6649887677)}"
73030,447,PO-00212,170,College St,College St,North,Mc Caul St,West,8067.0,11,,PPC,Existing,M2008067,0,313372.132,4835482.138,-79.393719527,43.659234143999996,"{u'type': u'Point', u'coordinates': (-79.3937195257, 43.6592341483)}"
73031,448,PO-00214,40,St George St,St George St,West,Russell St,South,8069.0,11,,PPC,Existing,M2008069,0,313123.332,4835556.899,-79.396803085,43.659909921,"{u'type': u'Point', u'coordinates': (-79.3968030829, 43.6599099232)}"
73032,449,PO-00217,50,St George St,St George St,West,Russell St,North,8072.0,11,,PPC,Existing,M2008072,0,313093.00800000003,4835659.928,-79.397177478,43.660837656000005,"{u'type': u'Point', u'coordinates': (-79.397177472, 43.6608376602)}"
73033,450,PO-00221,r829,College St,College St,South,Ossington Ave,East,8154.0,11,College Promenade,PPC,Existing,M1908154,0,311062.989,4834941.748,-79.42235538,43.654392943999994,"{u'type': u'Point', u'coordinates': (-79.4223553749, 43.6543929452)}"
73034,451,PO-00224,252,Bloor St W,Bloor St W,North,Bedford Rd,West,8126.0,11,,PPC,Existing,M2008126,0,313006.976,4836447.777,-79.398232173,43.667930301000005,"{u'type': u'Point', u'coordinates': (-79.3982321762, 43.6679302995)}"
73035,453,PO-00304,310,Bloor St W,Bloor St W,North,Madison Ave,East,8077.0,11,,PPC,Existing,M2008077,0,312660.402,4836346.196,-79.40253122600001,43.667019681999996,"{u'type': u'Point', u'coordinates': (-79.4025312229, 43.6670196815)}"
73036,454,PO-00307,555,University Ave,University Ave,East,Elm St,North,8080.0,11,,PPC,Existing,M2708080,0,313755.977,4835225.316000001,-79.388964739,43.65691788,"{u'type': u'Point', u'coordinates': (-79.3889647415, 43.6569178845)}"
73037,455,PO-00308,585,University Ave,University Ave,East,Gerrard St W,North,8081.0,11,,PPC,Existing,,0,313721.591,4835339.641,-79.389389164,43.657947377,"{u'type': u'Point', u'coordinates': (-79.3893891657, 43.6579473753)}"
73038,456,PO-00317,115,Mc Caul St,Dundas St W,East,Mc Caul St,South,8090.0,10,,PPC,Temporarily Removed,M2008090,0,313572.469,4834930.0030000005,-79.391244648,43.654261858000005,"{u'type': u'Point', u'coordinates': (-79.3912446477, 43.65426186)}"
73039,457,PO-00319,100,Mc Caul St,Mc Caul St,West,Dundas St W,North,8092.0,10,,PPC,Existing,M2008092,0,313581.188,4834834.959,-79.391138102,43.653406233999995,"{u'type': u'Point', u'coordinates': (-79.3911381008, 43.6534062338)}"
73040,458,PO-00321,34,Hanna Ave,Liberty St,South,Hanna Ave,West,8208.0,10,Liberty Village,PPC,Existing,M1908208,0,311265.289,4833160.887,-79.419868704,43.63836104,"{u'type': u'Point', u'coordinates': (-79.4198686999, 43.6383610454)}"
73041,459,PO-00325,2835,Lake Shore Blvd W,Lake Shore Blvd W,South,Fourth St,East,8210.0,3,Lakeshore Village,PPC,Existing,M0608210,0,304679.397,4829063.508,-79.501493852,43.60150693600001,"{u'type': u'Point', u'coordinates': (-79.5014938504, 43.6015069338)}"
73042,460,PO-00326,625-627,The West Mall,The West Mall,East,Wellesworth Dr,South,8211.0,2,,PPC,Existing,M0308211,0,299033.38899999997,4835076.969,-79.571492287,43.655614125,"{u'type': u'Point', u'coordinates': (-79.5714922896, 43.6556141305)}"
73043,461,PO-00330,600,The East Mall,The East Mall,West,Rathburn Rd,North,8215.0,2,,PPC,Existing,M0308215,0,299597.925,4835029.299,-79.564492923,43.655189193000005,"{u'type': u'Point', u'coordinates': (-79.5644929285, 43.6551891991)}"
73044,462,PO-00332,5055,Dundas St W,Dundas St W,South,Michael Power Pl,East,8217.0,3,Village of Islington,PPC,Existing,M0508217,0,302246.345,4833941.109,-79.531653895,43.645407811999995,"{u'type': u'Point', u'coordinates': (-79.5316539007, 43.6454078177)}"
73045,463,PO-00334,3339,Bloor St W,Bloor St W,South,Lothian Ave,West,8219.0,3,,PPC,Existing,M0508219,0,303065.11699999997,4833898.616,-79.521504657,43.645027677,"{u'type': u'Point', u'coordinates': (-79.5215046543, 43.6450276823)}"
73046,464,PO-00340,22,Willowridge Rd,Willowridge Rd,West,Richgrove Dr,North,8232.0,1,,PPC,Existing,M0408232,0,299255.716,4837319.632,-79.56875900600001,43.675802773,"{u'type': u'Point', u'coordinates': (-79.5687590023, 43.6758027721)}"
73047,465,PO-00344,860,The Queensway,The Queensway,North,Chartwell Rd,East,8230.0,3,shoptheQueensway.com,PPC,Existing,M0508230,0,304003.57399999996,4831655.192,-79.509868754,43.62483535,"{u'type': u'Point', u'coordinates': (-79.5098687532, 43.6248353542)}"
73048,466,PO-00158,19,Castlegrove Blvd,Castlegrove Blvd,South,Royal Doulton Dr,West,1274.0,16,,PPC,Existing,M3401274,0,319042.064,4845117.325,-79.32316713,43.745875763,"{u'type': u'Point', u'coordinates': (-79.3231671332, 43.745875768)}"
73049,467,PO-00275,630,Keele St,Keele St,West,St Clair Ave W,South,8178.0,5,,PPC,Existing,M1308178,0,307412.869,4836916.4569999995,-79.46759771,43.672189745,"{u'type': u'Point', u'coordinates': (-79.4675977116, 43.6721897506)}"
73050,468,PO-00281,1251,King St W,King St W,South,Tyndall Ave,West,8194.0,4,,PPC,Existing,M1408194,0,310512.108,4833172.215,-79.429203559,43.638469176,"{u'type': u'Point', u'coordinates': (-79.4292035573, 43.6384691752)}"
73051,469,PO-00285,536,Lansdowne Ave,Lansdowne Ave,West,Wade Ave,South,8197.0,9,,PPC,Existing,M1808197,0,309394.891,4835450.5,-79.44303107399999,43.658984569,"{u'type': u'Point', u'coordinates': (-79.4430310707, 43.6589845741)}"
